description,merchantLink,merchantName,price,productDetails,productLink,productName,reviewsCount,reviewsScore,searchKeyword,withoutDiscountPrice
Eau de Parfum · Spray · Unisex · Travel Size,http://www.google.com/url?url=https://www.ebay.com/itm/116005586151%3Fchn%3Dps%26mkevt%3D1%26mkcid%3D28%26com_cvv%3D81c269aab9bc5fc4177fabac3c77acd26f491510dd5f94a06570d6c819846581&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECLIW&usg=AOvVaw1zke7dvhEWMdTk3u2HIUoS,eBay,$34.99,Khamrah Qahwa Lattafa EDP 3.4 fl oz Indulge in the rich and exotic scent of Khamrah Qahwa Lattafa EDP. This luxurious ...,"http://www.google.com/shopping/product/11543983133961106374?q=perfume&gl=us&hl=en&prds=eto:347712927141711490_0,pid:15955141085082455133,rsk:PC_1456601781863392770&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gIIqRY",Lattafa Khamrah Qahwa Eau de Parfum 3.4 oz,439,4.8,perfume,
Eau de Parfum · Gifts for Mothers · Spray · Women's · Travel Size,http://www.google.com/url?url=https://www.jomashop.com/burberry-her-eau-de-parfum-spray-3614227693876.html%3Frecrawl%3Dtrue%26srsltid%3DAfmBOooMqRKfi77U0KEYh-eGS-3No2ZfKZ7hB98ig_Whx7kYp1Va77tH-gY%26com_cvv%3D81c269aab9bc5fc4177fabac3c77acd26f491510dd5f94a06570d6c819846581&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECMUW&usg=AOvVaw1wU6RgyxvRU9NkwAhBklMu,Jomashop.com,$97.99,"Burberry Her, a new pillar fragrance for the house, comes out in October 2018 and is the first one whose packaging is marked ...","http://www.google.com/shopping/product/15647155908191461019?q=perfume&gl=us&hl=en&prds=eto:4147436764392645012_0,pid:4984171281966854410,rsk:PC_10319453131855613211&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gIIuxY",Burberry Her Eau de Parfum Spray,"10,391",4.6,perfume,
Perfume · Set · Gifts for Mothers · Women's · Vegan · Paraben-free · Travel Size,http://www.google.com/url?url=https://modesens.com/product/sephora-favorites-deluxe-best-selling-mini-perfume-sampler-set-white-91966348/%3Fcountry%3Dus%26language%3Den%26refinfo%3DgSH_ggfSephoFavorfe-HeBePeCaCoPeCo91966348%26srsltid%3DAfmBOor_d21hGF4hYUyAwQFpdcmoC3wl834iKSXWmpk0V7TeJtgdssGlROE&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECOIW&usg=AOvVaw3r-cquxJyrX-DDqbUMHXaq,ModeSens,$90.00,"To receive points for this purchase, make sure you use the email address associated with your Beauty Insider account and that ...","http://www.google.com/shopping/product/3370190393325816698?q=perfume&gl=us&hl=en&prds=eto:17101110475154099899_0,pid:1540976488008386020,rsk:PC_15554780205473067035&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gII1hY",Sephora Favorites Deluxe Best-selling Mini Perfume Sampler Set,51,4.5,perfume,
Eau de Parfum · Set · Gifts for Mothers · Women's · Travel Size,http://www.google.com/url?url=https://www.fashbrands.com/product.asp%3FitemId%3D7665756%26srsltid%3DAfmBOoqBmTXLX3sOaRITk8iKJ-Mpqwwec-LbaX8nBlAPes9o6KCO5hRTeRU%26com_cvv%3D81c269aab9bc5fc4177fabac3c77acd26f491510dd5f94a06570d6c819846581&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECPUW&usg=AOvVaw0fRp28XJ0Ocb56s9cCDUBe,Fash Brands,$66.00,Feminine Fragrance Must-Haves is a two-piece fragrance discovery set featuring Yves Saint Laurent's best-selling women's ...,"http://www.google.com/shopping/product/17639876129567574917?q=perfume&gl=us&hl=en&prds=eto:6512257607030574995_0,pid:15408197351725871850,rsk:PC_15283743923278482327&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gII6xY",Yves Saint Laurent Feminine Fragrance Must-Haves,61,4.1,perfume,
Eau de Toilette · Set · Gifts for Mothers · Women's · Travel Size,http://www.google.com/url?url=https://www.fragrancex.com/products/versace/crystal-noir-perfume%3Fsid%3Dcryminw%26src%3DgoogleShopping%26currency%3Dusd%26coupon%3Dfx15%26srsltid%3DAfmBOorzF0UzYqPWG_semHoqhe4BXWJJnqewcJ-MSD4Ei9EMgX4v4eZ6TzM&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECIgX&usg=AOvVaw2AejhbLWhZrDkYZcR1WpKW,FragranceX.com,$8.46,About Versace Crystal Noir Versace Crystal Noir comes from the workshop of the world-renowned Italian fashion house Versace ...,"http://www.google.com/shopping/product/10804427457379122643?q=perfume&gl=us&hl=en&prds=eto:8058833871273413580_0,pid:4700236897017518617,rsk:PC_5825556012496275229&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gII_hY",Versace Women's Crystal Noir Mini Eau de Toilette Perfume - 0.17 fl oz bottle,"11,209",4.6,perfume,
Eau de Parfum · Spray · Women's · Travel Size,http://www.google.com/url?url=https://www.prada-beauty.com/fragrance/paradoxe/paradoxe-eau-de-parfum/3614273760652.html%3Fsrsltid%3DAfmBOorYtK3hPvrCMT4LjbtWlMRLVZyNwq1ff2Phg4pTMooCQwXGAkwQytQ&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECKQX&usg=AOvVaw1lnllhAhH95PGDwxqtuAFk,Prada Beauty US,$135.00,For a woman impossible to frame. Pradas new refillable feminine fragrance is an invitation to explore and express the multiple ...,"http://www.google.com/shopping/product/12960590241852919243?q=perfume&gl=us&hl=en&prds=eto:15692881483269998577_0,pid:17593085402152110601,rsk:PC_10731033422369232424&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gIImxc",Prada Paradoxe - Eau de Parfum,"11,680",4.7,perfume,
Eau de Toilette · Spray · Women's · Travel Size,http://www.google.com/url?url=https://reblscents.com/products/versace-crystal-noir-edt%3Fvariant%3D39552968687701%26currency%3DUSD%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOooL85lkvAABOSqoLCSiLlMQAS3Y93cdak4K1cQvC_g2yVYdeuhnGb0%26com_cvv%3D81c269aab9bc5fc4177fabac3c77acd26f491510dd5f94a06570d6c819846581&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECLkX&usg=AOvVaw19YKDMHsqAdEoPbSoaTGo6,REBL Scents,$64.98,Versace Crystal Noir 90ml Versace Crystal Noir comes from the workshop of the world-renowned Italian fashion house Versace ...,"http://www.google.com/shopping/product/4039115814778685903?q=perfume&gl=us&hl=en&prds=eto:3650597249327255820_0,pid:6323705101818589197,rsk:PC_17319968230907298432&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gIIsBc",Versace Crystal Noir Women 3 oz Eau de Toilette Spray,"10,716",4.6,perfume,
"The perfect gift for any Good Girl fan, this collection of miniatures includes Good Girl Eau de Parfum and Good Girl Blush Eau ...",http://www.google.com/url?url=https://www.carolinaherrera.com/us/en/p-fragrance/goodgirl-goodgirlblush-miniatures-md24/%3Fsku%3D000000000065201482%26utm_source%3Dgoogle%26utm_medium%3Dorganic_shopping_fragrance&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECM0X&usg=AOvVaw2RPBqBCxNGqUjlXiYAb9zt,Carolina Herrera,$39.00,"The perfect gift for any Good Girl fan, this collection of miniatures includes Good Girl Eau de Parfum and Good Girl Blush Eau ...","http://www.google.com/shopping/product/16220283264424092612?q=perfume&gl=us&hl=en&prds=eto:2464908276784751140_0,pid:2314073807611719821,rsk:PC_13750779809436698035&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gIIyBc",Carolina Herrera Mini Good Girl & Good Girl Blush Perfume Set,54,3.5,perfume,
Eau de Parfum · Spray · Women's · Travel Size,http://www.google.com/url?url=https://www.giftexpress.com/bright-peach-lattafa-gxp-12157.html%3Fsrsltid%3DAfmBOoqN8lOJBMsODLqbr67yFaV2QDtf-M-tredQCbz53UI75S9mVbDrvc4&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECN8X&usg=AOvVaw2GLp8nzlsCs-S1qbCfr7V4,GiftExpress,$19.95,"As the name suggests, the top notes of Bright Peach are a vibrant blend of fresh peach, zesty blood orange, and crisp green ...","http://www.google.com/shopping/product/13559298289987266408?q=perfume&gl=us&hl=en&prds=eto:13531860338104275804_0,pid:16930376009952381397,rsk:PC_11463653275620833019&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gII1hc",Bright Peach by Maison Alhambra,"1,278",4.6,perfume,
Eau de Parfum · Spray · Unisex · Travel Size,http://www.google.com/url?url=https://www.byredo.com/us_en/bal-dafrique-eau-de-parfum-100ml&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECPYX&usg=AOvVaw3NRgrQDXahdxAEC4mZJsHx,Byredo.com,$320.00,"The Parisian woman is devoted to pleasure. Provocative, emancipated, and liberated, she embodies eccentricity and a love of ...","http://www.google.com/shopping/product/9845052449850734309?q=perfume&gl=us&hl=en&prds=eto:3092000262630430565_0,pid:17135113502420212459,rsk:PC_8731055963437251378&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gII7Rc",Byredo - Bal d' Afrique - Eau de Parfum,"2,291",4.7,perfume,
